date,away_team,away_points,home_team,home_points
"Thu, Jun 2, 2016",Cleveland Cavaliers,89,Golden State Warriors,104
"Sun, Jun 5, 2016",Cleveland Cavaliers,77,Golden State Warriors,110
"Wed, Jun 8, 2016",Golden State Warriors,90,Cleveland Cavaliers,120
"Fri, Jun 10, 2016",Golden State Warriors,108,Cleveland Cavaliers,97
"Mon, Jun 13, 2016",Cleveland Cavaliers,112,Golden State Warriors,97
"Thu, Jun 16, 2016",Golden State Warriors,101,Cleveland Cavaliers,115
"Sun, Jun 19, 2016",Cleveland Cavaliers,93,Golden State Warriors,89
